
PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	65	0	0	0
2	0		sleeping	  0	0	0	65	0	0	0	0
3	3		runnable	  7	11	0	1	7	14	11	0
4	0		runnable	  0	2	0	33	0	0	0	0
5	0		runnable	  0	2	0	33	0	0	0	0
6	0		runnable	  0	2	0	33	0	0	0	0
7	0		runnable	  0	2	0	33	0	0	0	0
8	0		runnable	  0	2	0	33	0	0	0	0
9	3		runnable	  7	7	0	2	8	16	7	0
10	3		runnable	  7	3	0	3	9	18	3	0
11	2		running 	  6	16	0	4	10	19	0	0
12	2		runnable	  3	17	0	5	11	17	0	0
13	2		runnable	  3	15	0	6	12	15	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	66	0	0	0
2	0		sleeping	  0	0	0	66	0	0	0	0
3	3		runnable	  7	12	0	1	7	14	12	0
4	0		runnable	  0	3	0	34	0	0	0	0
5	0		runnable	  0	3	0	34	0	0	0	0
6	0		runnable	  0	3	0	34	0	0	0	0
7	0		runnable	  0	3	0	34	0	0	0	0
8	0		runnable	  0	3	0	34	0	0	0	0
9	3		runnable	  7	8	0	2	8	16	8	0
10	3		runnable	  7	4	0	3	9	18	4	0
11	2		running 	  7	16	0	4	10	20	0	0
12	2		runnable	  3	18	0	5	11	18	0	0
13	2		runnable	  3	16	0	6	12	16	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	1		sleeping	  1	0	0	2	67	0	0	0
2	0		sleeping	  0	0	0	67	0	0	0	0
3	3		runnable	  7	13	0	1	7	14	13	0
4	0		sleeping	  0	3	0	35	0	0	0	0
5	0		sleeping	  0	3	0	35	0	0	0	0
6	0		sleeping	  0	3	0	35	0	0	0	0
7	0		sleeping	  0	3	0	35	0	0	0	0
8	0		sleeping	  0	3	0	35	0	0	0	0
9	3		runnable	  7	9	0	2	8	16	9	0
10	3		runnable	  7	5	0	3	9	18	5	0
11	3		runnable	  7	1	0	4	10	20	1	0
12	2		running 	  4	18	0	5	11	19	0	0
13	2		runnable	  3	17	0	6	12	17	0	0

