PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
4	0		runnable	  0	3	0	26	0	0	0	0
5	0		runnable	  0	3	0	26	0	0	0	0
6	0		runnable	  0	3	0	26	0	0	0	0
7	0		runnable	  0	3	0	26	0	0	0	0
8	0		runnable	  0	3	0	26	0	0	0	0
9	2		running 	  7	12	0	2	8	16	0	0
10	2		runnable	  3	14	0	3	9	14	0	0
11	2		runnable	  3	12	0	4	10	12	0	0
12	2		runnable	  3	10	0	5	11	10	0	0
13	2		runnable	  3	8	0	6	12	8	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	52	0	0	0	0
2	1		sleeping	  1	0	0	1	50	0	0	0
3	3		runnable	  7	5	0	1	7	14	5	0
4	0		sleeping	  0	3	0	27	0	0	0	0
5	0		sleeping	  0	3	0	27	0	0	0	0
6	0		sleeping	  0	3	0	27	0	0	0	0
7	0		sleeping	  0	3	0	27	0	0	0	0
8	0		sleeping	  0	3	0	27	0	0	0	0
9	3		runnable	  7	1	0	2	8	16	1	0
10	2		running 	  4	14	0	3	9	15	0	0
11	2		runnable	  3	13	0	4	10	13	0	0
12	2		runnable	  3	11	0	5	11	11	0	0
13	2		runnable	  3	9	0	6	12	9	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	53	0	0	0	0
2	1		sleeping	  1	0	0	1	51	0	0	0
3	3		runnable	  7	6	0	1	7	14	6	0
4	0		runnable	  0	1	0	28	0	0	0	0
5	0		runnable	  0	1	0	28	0	0	0	0
6	0		runnable	  0	1	0	28	0	0	0	0
7	0		runnable	  0	1	0	28	0	0	0	0
8	0		runnable	  0	1	0	28	0	0	0	0
9	3		runnable	  7	2	0	2	8	16	2	0
10	2		running 	  5	14	0	3	9	16	0	0
11	2		runnable	  3	14	0	4	10	14	0	0
12	2		runnable	  3	12	0	5	11	12	0	0
13	2		runnable	  3	10	0	6	12	10	0	0

PID	Priority	State		rtime	wtime	nrun	q0	q1	q2	q3	q4
1	0		sleeping	  0	0	0	54	0	0	0	0
2	1		sleeping	  1	0	0	1	52	0	0	0
3	3		runnable	  7	7	0	1	7	14	7	0
4	0		runnable	  0	2	0	29	0	0	0	0
5	0		runnable	  0	2	0	29	0	0	0	0
